nominal;data;curs;cdx
10;17.10.2023;35,0343;Турецкая лира
10;14.10.2023;35,0876;Турецкая лира
10;13.10.2023;34,9980;Турецкая лира
10;12.10.2023;36,0888;Турецкая лира
10;11.10.2023;36,1025;Турецкая лира
10;10.10.2023;36,7475;Турецкая лира
10;07.10.2023;36,4743;Турецкая лира
