nominal;data;curs;cdx
1;17.10.2023;102,5200;Åâðî
1;14.10.2023;102,5523;Åâðî
1;13.10.2023;103,0350;Åâðî
1;12.10.2023;105,9544;Åâðî
1;11.10.2023;105,6864;Åâðî
1;10.10.2023;107,0322;Åâðî
1;07.10.2023;106,0100;Åâðî
